Region IRI,Layer IRI
http://purl.obolibrary.org/obo/UBERON_0006490,http://uri.interlex.org/base/ilx_0738321
http://purl.obolibrary.org/obo/UBERON_0006491,http://uri.interlex.org/base/ilx_0738322
http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/UBERON_0004641
http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/UBERON_0001250
http://purl.obolibrary.org/obo/UBERON_0002106,http://uri.interlex.org/base/ilx_0793680
http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/UBERON_0010398
http://purl.obolibrary.org/obo/UBERON_0002106,http://uri.interlex.org/base/ilx_0793681
http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/UBERON_0001959
http://purl.obolibrary.org/obo/UBERON_0001263,http://purl.obolibrary.org/obo/UBERON_0002384
http://purl.obolibrary.org/obo/UBERON_0003126,http://uri.interlex.org/base/ilx_0793684
http://purl.obolibrary.org/obo/UBERON_0002185,http://uri.interlex.org/base/ilx_0793764
http://purl.obolibrary.org/obo/UBERON_0002186,http://uri.interlex.org/base/ilx_0793765
http://purl.obolibrary.org/obo/UBERON_0002187,http://uri.interlex.org/base/ilx_0775392
http://uri.interlex.org/base/ilx_0793646,http://purl.obolibrary.org/obo/UBERON_0035965
http://purl.obolibrary.org/obo/UBERON_0001530,http://purl.obolibrary.org/obo/UBERON_0037094
http://purl.obolibrary.org/obo/UBERON_0001532,http://uri.interlex.org/base/ilx_0738305
http://purl.obolibrary.org/obo/UBERON_0000388,http://purl.obolibrary.org/obo/UBERON_0004982
http://purl.obolibrary.org/obo/UBERON_0001737,http://uri.interlex.org/base/ilx_0738326
http://purl.obolibrary.org/obo/UBERON_0001723,http://purl.obolibrary.org/obo/UBERON_0005020
http://purl.obolibrary.org/obo/UBERON_0001508,http://uri.interlex.org/base/ilx_0738304
http://purl.obolibrary.org/obo/UBERON_0003126,http://purl.obolibrary.org/obo/UBERON_0000379
http://purl.obolibrary.org/obo/UBERON_0001896,http://uri.interlex.org/base/ilx_0738320
http://uri.interlex.org/base/ilx_0793558,http://purl.obolibrary.org/obo/UBERON_0001201
http://uri.interlex.org/base/ilx_0793558,http://purl.obolibrary.org/obo/UBERON_0008863
http://uri.interlex.org/base/ilx_0793558,http://uri.interlex.org/base/ilx_0793656
http://purl.obolibrary.org/obo/UBERON_0006457,http://uri.interlex.org/base/ilx_0738306
http://purl.obolibrary.org/obo/UBERON_0001896,http://purl.obolibrary.org/obo/UBERON_0003714
http://uri.interlex.org/base/ilx_0793658,http://uri.interlex.org/base/ilx_0793656
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0008857
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0008863
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0008862
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0001200
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0001203
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0001199
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0001201
http://purl.obolibrary.org/obo/UBERON_0001258,http://purl.obolibrary.org/obo/UBERON_0002384
http://purl.obolibrary.org/obo/UBERON_0006082,http://purl.obolibrary.org/obo/UBERON_0002384
http://uri.interlex.org/base/ilx_0793663,http://purl.obolibrary.org/obo/UBERON_0035965
http://uri.interlex.org/base/ilx_0793664,http://purl.obolibrary.org/obo/UBERON_0035965
http://purl.obolibrary.org/obo/UBERON_0001891,http://purl.obolibrary.org/obo/UBERON_0003714
http://purl.obolibrary.org/obo/UBERON_0000988,http://purl.obolibrary.org/obo/UBERON_0003714
http://purl.obolibrary.org/obo/UBERON_0001893,http://purl.obolibrary.org/obo/UBERON_0003714
http://purl.obolibrary.org/obo/UBERON_0001894,http://purl.obolibrary.org/obo/UBERON_0003714
http://purl.obolibrary.org/obo/UBERON_0006450,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006448,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006082,http://purl.obolibrary.org/obo/UBERON_0001135
http://purl.obolibrary.org/obo/UBERON_0001258,http://purl.obolibrary.org/obo/UBERON_0001135
http://purl.obolibrary.org/obo/UBERON_0006450,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006450,http://purl.obolibrary.org/obo/UBERON_0016576
http://purl.obolibrary.org/obo/UBERON_0006450,http://purl.obolibrary.org/obo/UBERON_0006118
http://purl.obolibrary.org/obo/UBERON_0006450,http://purl.obolibrary.org/obo/UBERON_0002181
http://purl.obolibrary.org/obo/UBERON_0006450,http://purl.obolibrary.org/obo/UBERON_0004677
http://purl.obolibrary.org/obo/UBERON_0006448,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006448,http://purl.obolibrary.org/obo/UBERON_0016576
http://purl.obolibrary.org/obo/UBERON_0006448,http://purl.obolibrary.org/obo/UBERON_0002181
http://purl.obolibrary.org/obo/UBERON_0006448,http://purl.obolibrary.org/obo/UBERON_0004677
http://purl.obolibrary.org/obo/UBERON_0006448,http://purl.obolibrary.org/obo/UBERON_0006118
http://purl.obolibrary.org/obo/UBERON_0006082,http://purl.obolibrary.org/obo/UBERON_0000483
http://purl.obolibrary.org/obo/UBERON_0001258,http://purl.obolibrary.org/obo/UBERON_0000483
http://uri.interlex.org/base/ilx_0738432,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006460,http://purl.obolibrary.org/obo/UBERON_0002318
http://uri.interlex.org/base/ilx_0738432,http://purl.obolibrary.org/obo/UBERON_0016578
http://uri.interlex.org/base/ilx_0738432,http://purl.obolibrary.org/obo/UBERON_0016576
http://uri.interlex.org/base/ilx_0738432,http://purl.obolibrary.org/obo/UBERON_0002181
http://uri.interlex.org/base/ilx_0738432,http://purl.obolibrary.org/obo/UBERON_0004677
http://uri.interlex.org/base/ilx_0738432,http://purl.obolibrary.org/obo/UBERON_0006118
http://purl.obolibrary.org/obo/UBERON_0000057,http://uri.interlex.org/base/ilx_0793141
http://purl.obolibrary.org/obo/UBERON_0006460,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006460,http://purl.obolibrary.org/obo/UBERON_0016576
http://purl.obolibrary.org/obo/UBERON_0006460,http://purl.obolibrary.org/obo/UBERON_0006118
http://purl.obolibrary.org/obo/UBERON_0006460,http://purl.obolibrary.org/obo/UBERON_0002181
http://purl.obolibrary.org/obo/UBERON_0006460,http://purl.obolibrary.org/obo/UBERON_0004677
http://purl.obolibrary.org/obo/UBERON_0006447,http://purl.obolibrary.org/obo/UBERON_0016580
http://uri.interlex.org/base/ilx_0738432,http://purl.obolibrary.org/obo/UBERON_0016580
http://purl.obolibrary.org/obo/UBERON_0006447,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006469,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006489,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006488,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006490,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006491,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006492,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006493,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006470,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006457,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006458,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006459,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006452,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006453,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006454,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006455,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006456,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006465,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006466,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006467,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006468,http://purl.obolibrary.org/obo/UBERON_0002318
http://uri.interlex.org/base/ilx_0793357,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006449,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006451,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0015129
http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/UBERON_0002348
http://purl.obolibrary.org/obo/UBERON_0002078,http://purl.obolibrary.org/obo/UBERON_0002349
http://purl.obolibrary.org/obo/UBERON_0002079,http://purl.obolibrary.org/obo/UBERON_0002349
http://purl.obolibrary.org/obo/UBERON_0002078,http://purl.obolibrary.org/obo/UBERON_0002165
http://purl.obolibrary.org/obo/UBERON_0002079,http://purl.obolibrary.org/obo/UBERON_0002165
http://purl.obolibrary.org/obo/UBERON_0002080,http://purl.obolibrary.org/obo/UBERON_0002349
http://purl.obolibrary.org/obo/UBERON_0002084,http://purl.obolibrary.org/obo/UBERON_0002349
http://purl.obolibrary.org/obo/UBERON_0002084,http://purl.obolibrary.org/obo/UBERON_0002165
http://purl.obolibrary.org/obo/UBERON_0002080,http://purl.obolibrary.org/obo/UBERON_0002165
http://purl.obolibrary.org/obo/UBERON_0001496,http://purl.obolibrary.org/obo/UBERON_0004664
http://purl.obolibrary.org/obo/UBERON_0002012,http://purl.obolibrary.org/obo/UBERON_0007240
http://purl.obolibrary.org/obo/UBERON_0006493,http://purl.obolibrary.org/obo/UBERON_0006118
http://purl.obolibrary.org/obo/UBERON_0006470,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006457,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006458,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006459,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006452,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006453,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006454,http://purl.obolibrary.org/obo/UBERON_0016578
http://uri.interlex.org/base/ilx_0793558,http://purl.obolibrary.org/obo/UBERON_0008857
http://uri.interlex.org/base/ilx_0793558,http://purl.obolibrary.org/obo/UBERON_0008862
http://uri.interlex.org/base/ilx_0793558,http://purl.obolibrary.org/obo/UBERON_0001200
http://uri.interlex.org/base/ilx_0793558,http://purl.obolibrary.org/obo/UBERON_0001203
http://uri.interlex.org/base/ilx_0793558,http://purl.obolibrary.org/obo/UBERON_0001199
http://purl.obolibrary.org/obo/UBERON_0001165,http://purl.obolibrary.org/obo/UBERON_0002439
http://uri.interlex.org/base/ilx_0774562,http://purl.obolibrary.org/obo/UBERON_0002439
http://purl.obolibrary.org/obo/UBERON_0001165,http://purl.obolibrary.org/obo/UBERON_0008863
http://purl.obolibrary.org/obo/UBERON_0001165,http://purl.obolibrary.org/obo/UBERON_0004782
http://uri.interlex.org/base/ilx_0774562,http://purl.obolibrary.org/obo/UBERON_0008863
http://uri.interlex.org/base/ilx_0774562,http://purl.obolibrary.org/obo/UBERON_0004782
http://purl.obolibrary.org/obo/UBERON_0001263,http://purl.obolibrary.org/obo/UBERON_0005769
http://purl.obolibrary.org/obo/UBERON_0001263,http://uri.interlex.org/base/ilx_0793613
http://purl.obolibrary.org/obo/UBERON_0001194,http://purl.obolibrary.org/obo/UBERON_0005734
http://purl.obolibrary.org/obo/UBERON_0006637,http://purl.obolibrary.org/obo/UBERON_0005734
http://purl.obolibrary.org/obo/UBERON_0001193,http://purl.obolibrary.org/obo/UBERON_0005734
http://purl.obolibrary.org/obo/UBERON_0001182,http://purl.obolibrary.org/obo/UBERON_0005734
http://purl.obolibrary.org/obo/UBERON_0001195,http://purl.obolibrary.org/obo/UBERON_0005734
http://uri.interlex.org/base/ilx_0793357,http://purl.obolibrary.org/obo/UBERON_0016578
http://uri.interlex.org/base/ilx_0793357,http://purl.obolibrary.org/obo/UBERON_0016576
http://uri.interlex.org/base/ilx_0793357,http://purl.obolibrary.org/obo/UBERON_0002181
http://uri.interlex.org/base/ilx_0793357,http://purl.obolibrary.org/obo/UBERON_0006118
http://uri.interlex.org/base/ilx_0793357,http://purl.obolibrary.org/obo/UBERON_0004677
http://purl.obolibrary.org/obo/UBERON_0006449,http://purl.obolibrary.org/obo/UBERON_0002181
http://purl.obolibrary.org/obo/UBERON_0006449,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006449,http://purl.obolibrary.org/obo/UBERON_0004677
http://purl.obolibrary.org/obo/UBERON_0006449,http://purl.obolibrary.org/obo/UBERON_0016576
http://purl.obolibrary.org/obo/UBERON_0006449,http://purl.obolibrary.org/obo/UBERON_0006118
http://purl.obolibrary.org/obo/UBERON_0006447,http://purl.obolibrary.org/obo/UBERON_0004677
http://purl.obolibrary.org/obo/UBERON_0006447,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006447,http://purl.obolibrary.org/obo/UBERON_0006118
http://purl.obolibrary.org/obo/UBERON_0006447,http://purl.obolibrary.org/obo/UBERON_0016576
http://purl.obolibrary.org/obo/UBERON_0006447,http://purl.obolibrary.org/obo/UBERON_0002181
http://purl.obolibrary.org/obo/UBERON_0006451,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006451,http://purl.obolibrary.org/obo/UBERON_0004677
http://purl.obolibrary.org/obo/UBERON_0006451,http://purl.obolibrary.org/obo/UBERON_0016576
http://purl.obolibrary.org/obo/UBERON_0006451,http://purl.obolibrary.org/obo/UBERON_0006118
http://purl.obolibrary.org/obo/UBERON_0006451,http://purl.obolibrary.org/obo/UBERON_0002181
http://purl.obolibrary.org/obo/UBERON_0000160,http://purl.obolibrary.org/obo/UBERON_0001243
http://purl.obolibrary.org/obo/UBERON_0013473,http://purl.obolibrary.org/obo/UBERON_0001975
http://purl.obolibrary.org/obo/UBERON_0013473,http://purl.obolibrary.org/obo/UBERON_0009961
http://purl.obolibrary.org/obo/UBERON_0013473,http://uri.interlex.org/base/ilx_0793660
http://uri.interlex.org/base/ilx_0793645,http://purl.obolibrary.org/obo/UBERON_0035965
http://uri.interlex.org/base/ilx_0793643,http://purl.obolibrary.org/obo/UBERON_0035965
http://uri.interlex.org/base/ilx_0793644,http://purl.obolibrary.org/obo/UBERON_0035965
http://uri.interlex.org/base/ilx_0793641,http://purl.obolibrary.org/obo/UBERON_0035965
http://uri.interlex.org/base/ilx_0793642,http://purl.obolibrary.org/obo/UBERON_0035965
http://purl.obolibrary.org/obo/UBERON_0006466,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006467,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006468,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006455,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006456,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006465,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0002369,http://purl.obolibrary.org/obo/UBERON_0001235
http://purl.obolibrary.org/obo/UBERON_0002369,http://purl.obolibrary.org/obo/UBERON_0001236
http://purl.obolibrary.org/obo/UBERON_0006453,http://purl.obolibrary.org/obo/UBERON_0003714
http://purl.obolibrary.org/obo/UBERON_0006454,http://purl.obolibrary.org/obo/UBERON_0003714
http://purl.obolibrary.org/obo/UBERON_0006455,http://purl.obolibrary.org/obo/UBERON_0003714
http://purl.obolibrary.org/obo/UBERON_0006456,http://purl.obolibrary.org/obo/UBERON_0003714
http://purl.obolibrary.org/obo/UBERON_0006493,http://purl.obolibrary.org/obo/UBERON_0004677
http://purl.obolibrary.org/obo/UBERON_0006493,http://purl.obolibrary.org/obo/UBERON_0016578